"id","authorYear","arm","isAnthra","anthracyclineCumulDose","isCyclo","cyclophosphamideCumulDose","isTaxane","taxaneCumulDose","isFluoro","fluoroucilCumulDose","nITT","medianFU","malType","malN","rate","x"
961,"Fisher (1999)",1,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,849,55.2,"AML",4,10.2422287089671,240
961,"Fisher (1999)",2,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,847,55.2,"AML",5,12.833016785586,240
961,"Fisher (1999)",3,TRUE,240,TRUE,9600,FALSE,NA,FALSE,NA,849,55.2,"AML",6,15.3633430634506,240
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"AML",6,74.8962375042909,675
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML",0,0,180
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML",0,0,180
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"AML",0,0,480
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"AML",3,19.3392425463336,800
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"AML",0,0,360
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"AML",0,0,360
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"AML",0,0,480
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"AML",0,0,480
1841,"Henderson (2003)",1,TRUE,300,TRUE,2400,FALSE,NA,FALSE,NA,1551,69,"AML",6,6.72777731057102,300
1841,"Henderson (2003)",2,TRUE,300,TRUE,2400,TRUE,NA,FALSE,NA,1570,69,"AML",4,4.43090556632512,300
1842,"Fountzilas (2005)",1,TRUE,330,FALSE,NA,TRUE,750,FALSE,NA,297,62,"AML",0,0,330
1842,"Fountzilas (2005)",2,TRUE,440,FALSE,NA,FALSE,NA,FALSE,NA,290,62,"AML",0,0,440
1844,"Roche (2006)",1,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,996,60,"AML",3,6.02409638554217,600
1844,"Roche (2006)",2,TRUE,300,TRUE,1500,TRUE,300,TRUE,1500,1003,60,"AML",1,1.99401794616152,300
1847,"Fumoleu (2003)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,210,131,"AML",0,0,300
1847,"Fumoleu (2003)",2,TRUE,150,TRUE,1500,FALSE,NA,TRUE,1500,197,131,"AML",2,9.29980237919944,150
1847,"Fumoleu (2003)",3,TRUE,225,TRUE,1500,FALSE,NA,TRUE,1500,195,131,"AML",1,4.69759248385203,225
1849,"Fargeot (2004)",2,TRUE,540,FALSE,NA,FALSE,NA,FALSE,NA,163,72,"AML",0,0,540
1853,"Wils (1999)",1,TRUE,600,FALSE,NA,FALSE,NA,FALSE,NA,303,57.6,"AML",2,13.7513751375138,600
1876,"Fisher (1997)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,767,69.3,"AML",1,2.25762937627344,240
1876,"Fisher (1997)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,763,69.3,"AML",1,2.26946491690922,240
1876,"Fisher (1997)",3,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,771,69.3,"AML",2,4.4918332856076,240
1884,"Mackey (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,745,124,"AML",4,5.19592985494696,300
1884,"Mackey (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,746,124,"AML",1,1.29724120038052,300
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"AML",9,7.86163522012579,324
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"AML",11,10.0247885680957,324
