"id","authorYear","arm","isAnthra","anthracyclineCumulDose","isCyclo","cyclophosphamideCumulDose","isTaxane","taxaneCumulDose","isFluoro","fluoroucilCumulDose","nITT","medianFU","malType","malN","py","rate","x"
961,"Fisher (1999)",1,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,849,55.2,"AML",4,3905.4,10.2422287089671,4800
961,"Fisher (1999)",2,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,847,55.2,"AML",5,3896.2,12.833016785586,4800
961,"Fisher (1999)",3,TRUE,240,TRUE,9600,FALSE,NA,FALSE,NA,849,55.2,"AML",6,3905.4,15.3633430634506,9600
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"AML",6,801.108333333333,74.8962375042909,8100
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML",0,874.516666666667,0,1200
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML",0,874.516666666667,0,1200
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"AML",0,1624.25,0,4000
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"AML",3,1551.25,19.3392425463336,6640
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"AML",0,6281.6,0,3600
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"AML",0,6344,0,3600
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"AML",0,1920,0,2400
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"AML",0,1962.66666666667,0,2400
1841,"Henderson (2003)",1,TRUE,300,TRUE,2400,FALSE,NA,FALSE,NA,1551,69,"AML",6,8918.25,6.72777731057102,2400
1841,"Henderson (2003)",2,TRUE,300,TRUE,2400,TRUE,NA,FALSE,NA,1570,69,"AML",4,9027.5,4.43090556632512,2400
1844,"Roche (2006)",1,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,996,60,"AML",3,4980,6.02409638554217,3000
1844,"Roche (2006)",2,TRUE,300,TRUE,1500,TRUE,300,TRUE,1500,1003,60,"AML",1,5015,1.99401794616152,1500
1847,"Fumoleu (2003)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,210,131,"AML",0,2292.5,0,3000
1847,"Fumoleu (2003)",2,TRUE,150,TRUE,1500,FALSE,NA,TRUE,1500,197,131,"AML",2,2150.58333333333,9.29980237919944,1500
